,time,category,field,value,score
109,2025-03-15 09:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),3.1729038854805727,100.0
111,2025-03-15 09:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1000.8,83.0
112,2025-03-15 09:00:00+00:00,Air quality,Relative humidity (R.H.) (%),59.82166666666667,50.0
114,2025-03-15 09:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
115,2025-03-15 09:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),186.56666666666666,0.1
116,2025-03-15 09:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),145.04999999999998,0.1
118,2025-03-15 09:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
119,2025-03-15 09:00:00+00:00,Thermal comfort,Temperature (°C),18.183150100000006,100.0
120,2025-03-15 10:00:00+00:00,Acoustics,Sound pressure (dB(A)),64.66666666666667,0.1
121,2025-03-15 10:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
123,2025-03-15 10:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),470.8262578616352,100.0
124,2025-03-15 10:00:00+00:00,Air quality,Relative humidity (R.H.) (%),48.90267295597484,92.0
126,2025-03-15 10:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
127,2025-03-15 10:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),19.50314465408805,87.0
128,2025-03-15 10:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),16.15880503144654,54.0
130,2025-03-15 10:00:00+00:00,Lighting,Illuminance (% above/below thresholds),19.642857142857142,16.0
131,2025-03-15 10:00:00+00:00,Thermal comfort,Temperature (°C),17.620131232075472,100.0
132,2025-03-15 11:00:00+00:00,Acoustics,Sound pressure (dB(A)),72.16666666666667,0.1
133,2025-03-15 11:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
135,2025-03-15 11:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),455.37938596491233,100.0
136,2025-03-15 11:00:00+00:00,Air quality,Relative humidity (R.H.) (%),42.07675438596492,100.0
138,2025-03-15 11:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
139,2025-03-15 11:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),5.552631578947369,100.0
140,2025-03-15 11:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),4.219298245614035,95.0
142,2025-03-15 11:00:00+00:00,Lighting,Illuminance (% above/below thresholds),65.0,100.0
143,2025-03-15 11:00:00+00:00,Thermal comfort,Temperature (°C),16.543939573684206,92.0
144,2025-03-15 12:00:00+00:00,Acoustics,Sound pressure (dB(A)),68.91666666666667,0.1
145,2025-03-15 12:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
147,2025-03-15 12:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),458.7416666666667,100.0
148,2025-03-15 12:00:00+00:00,Air quality,Relative humidity (R.H.) (%),40.361666666666665,100.0
150,2025-03-15 12:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
151,2025-03-15 12:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),60.641666666666666,38.0
152,2025-03-15 12:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),53.00833333333334,8.0
154,2025-03-15 12:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
155,2025-03-15 12:00:00+00:00,Thermal comfort,Temperature (°C),16.805650099999994,100.0
156,2025-03-15 13:00:00+00:00,Acoustics,Sound pressure (dB(A)),62.083333333333336,0.1
157,2025-03-15 13:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),18.218609406952968,90.0
159,2025-03-15 13:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1369.2166666666667,52.0
160,2025-03-15 13:00:00+00:00,Air quality,Relative humidity (R.H.) (%),46.34916666666666,99.0
162,2025-03-15 13:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
163,2025-03-15 13:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),70.76666666666667,1.0
164,2025-03-15 13:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),66.33333333333334,0.1
166,2025-03-15 13:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
167,2025-03-15 13:00:00+00:00,Thermal comfort,Temperature (°C),18.206483433333332,100.0
168,2025-03-15 14:00:00+00:00,Acoustics,Sound pressure (dB(A)),66.66666666666667,0.1
