time,field,value
2025-03-16 07:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),143.958333333333
2025-03-16 07:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 07:00:00+00:00,Temperature (°C),18.4768986
2025-03-16 08:00:00+00:00,Sound pressure (dB(A)),45
2025-03-16 08:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-16 08:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1741.56666666667
2025-03-16 08:00:00+00:00,Relative humidity (R.H.) (%),57.9791666666667
2025-03-16 08:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 08:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),110.991666666667
2025-03-16 08:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),93.575
2025-03-16 08:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 08:00:00+00:00,Temperature (°C),18.4702319333333
2025-03-16 09:00:00+00:00,Sound pressure (dB(A)),49.6666666666667
2025-03-16 09:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.286584867075665
2025-03-16 09:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1796.925
2025-03-16 09:00:00+00:00,Relative humidity (R.H.) (%),59.1925
2025-03-16 09:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 09:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),118.808333333333
2025-03-16 09:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),85.55
2025-03-16 09:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 09:00:00+00:00,Temperature (°C),18.5460652666667
2025-03-16 10:00:00+00:00,Sound pressure (dB(A)),50.4166666666667
2025-03-16 10:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-16 10:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),570.125
2025-03-16 10:00:00+00:00,Relative humidity (R.H.) (%),50.9591666666667
2025-03-16 10:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 10:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),27.875
2025-03-16 10:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),19.9833333333333
2025-03-16 10:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 10:00:00+00:00,Temperature (°C),18.2252319333333
2025-03-16 11:00:00+00:00,Sound pressure (dB(A)),70.3333333333333
2025-03-16 11:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-16 11:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1258.31666666667
2025-03-16 11:00:00+00:00,Relative humidity (R.H.) (%),52.0375
2025-03-16 11:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 11:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),41.5583333333333
2025-03-16 11:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),26.5166666666667
2025-03-16 11:00:00+00:00,Illuminance (% above/below thresholds),1.66666666666667
2025-03-16 11:00:00+00:00,Temperature (°C),18.8843986
2025-03-16 12:00:00+00:00,Sound pressure (dB(A)),58
2025-03-16 12:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-16 12:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),2522.79166666667
2025-03-16 12:00:00+00:00,Relative humidity (R.H.) (%),54.5258333333333
